"k","alpha","delta","burnin","iter","perplexity"
10,0.001,0.001,50,300,799.373809240501
10,0.001,0.001,50,300,826.02749946555
10,0.001,0.001,50,300,818.356020366615
10,0.001,0.001,50,300,850.502226815939
10,0.001,0.001,50,300,878.002755452607
10,0.005,0.001,50,300,796.785778803799
10,0.005,0.001,50,300,824.584478565241
10,0.005,0.001,50,300,818.870311437846
10,0.005,0.001,50,300,854.137780670666
10,0.005,0.001,50,300,876.136768120526
10,0.01,0.001,50,300,797.609636493566
10,0.01,0.001,50,300,823.032046427576
10,0.01,0.001,50,300,819.57169063474
10,0.01,0.001,50,300,850.567027796985
10,0.01,0.001,50,300,880.210153504965
10,0.05,0.001,50,300,796.840871139278
10,0.05,0.001,50,300,823.281757585855
10,0.05,0.001,50,300,817.146851419086
10,0.05,0.001,50,300,851.645466176546
10,0.05,0.001,50,300,882.574186721419
10,0.1,0.001,50,300,805.308510508156
10,0.1,0.001,50,300,829.167547380485
10,0.1,0.001,50,300,815.465316014852
10,0.1,0.001,50,300,848.476625072962
10,0.1,0.001,50,300,882.594781239577
10,0.15,0.001,50,300,799.033746624998
10,0.15,0.001,50,300,829.578726553539
10,0.15,0.001,50,300,824.285412342314
10,0.15,0.001,50,300,853.054904442968
10,0.15,0.001,50,300,886.155174272611
10,0.2,0.001,50,300,800.918216702301
10,0.2,0.001,50,300,840.776237171389
10,0.2,0.001,50,300,824.741554476994
10,0.2,0.001,50,300,859.066557528405
10,0.2,0.001,50,300,893.454126575662
10,0.25,0.001,50,300,809.511698916826
10,0.25,0.001,50,300,841.390715358969
10,0.25,0.001,50,300,825.013572806263
10,0.25,0.001,50,300,858.098895053956
10,0.25,0.001,50,300,892.840387480205
10,0.3,0.001,50,300,806.763920523098
10,0.3,0.001,50,300,840.543410675329
10,0.3,0.001,50,300,830.235870215247
10,0.3,0.001,50,300,854.099988422374
10,0.3,0.001,50,300,885.825102545825
10,0.35,0.001,50,300,803.377312429285
10,0.35,0.001,50,300,845.206892643257
10,0.35,0.001,50,300,834.32958256192
10,0.35,0.001,50,300,861.207327780935
10,0.35,0.001,50,300,892.220791157336
10,0.4,0.001,50,300,810.139091014361
10,0.4,0.001,50,300,844.631095847503
10,0.4,0.001,50,300,835.311573417567
10,0.4,0.001,50,300,863.943467286356
10,0.4,0.001,50,300,901.677321390045
10,0.001,0.005,50,300,755.777948015341
10,0.001,0.005,50,300,794.028771400264
10,0.001,0.005,50,300,797.595704844258
10,0.001,0.005,50,300,816.73117377446
10,0.001,0.005,50,300,839.995607580835
10,0.005,0.005,50,300,757.377245887816
10,0.005,0.005,50,300,787.768751388885
10,0.005,0.005,50,300,789.075836294489
10,0.005,0.005,50,300,815.005088064719
10,0.005,0.005,50,300,831.890207879167
10,0.01,0.005,50,300,749.905652135993
10,0.01,0.005,50,300,782.369507964329
10,0.01,0.005,50,300,782.513792913862
10,0.01,0.005,50,300,816.889382291457
10,0.01,0.005,50,300,831.928965362193
10,0.05,0.005,50,300,754.222253485375
10,0.05,0.005,50,300,782.213902732746
10,0.05,0.005,50,300,779.730194937776
10,0.05,0.005,50,300,814.295106308259
10,0.05,0.005,50,300,828.540986354693
10,0.1,0.005,50,300,753.860646382162
10,0.1,0.005,50,300,793.386418360571
10,0.1,0.005,50,300,784.772349718726
10,0.1,0.005,50,300,818.36669592046
10,0.1,0.005,50,300,830.439155129481
10,0.15,0.005,50,300,753.340688352058
10,0.15,0.005,50,300,782.750031483081
10,0.15,0.005,50,300,775.953509993402
10,0.15,0.005,50,300,815.437695213296
10,0.15,0.005,50,300,831.625603665771
10,0.2,0.005,50,300,754.860175796153
10,0.2,0.005,50,300,783.020900844844
10,0.2,0.005,50,300,791.745620294343
10,0.2,0.005,50,300,809.544625659355
10,0.2,0.005,50,300,833.575527981721
10,0.25,0.005,50,300,759.370839681222
10,0.25,0.005,50,300,791.957113409542
10,0.25,0.005,50,300,786.820402226197
10,0.25,0.005,50,300,815.688994689792
10,0.25,0.005,50,300,830.938845622152
10,0.3,0.005,50,300,763.093061924531
10,0.3,0.005,50,300,789.609653097445
10,0.3,0.005,50,300,792.808752707161
10,0.3,0.005,50,300,812.479133263099
10,0.3,0.005,50,300,837.311135363048
10,0.35,0.005,50,300,758.097594313551
10,0.35,0.005,50,300,793.281192582559
10,0.35,0.005,50,300,793.651467858483
10,0.35,0.005,50,300,816.838815085416
10,0.35,0.005,50,300,830.450591779277
10,0.4,0.005,50,300,760.205353331052
10,0.4,0.005,50,300,792.742782405719
10,0.4,0.005,50,300,791.611142832594
10,0.4,0.005,50,300,818.6894305066
10,0.4,0.005,50,300,836.842509512158
10,0.001,0.01,50,300,756.467732715573
10,0.001,0.01,50,300,790.359425681436
10,0.001,0.01,50,300,790.085042879282
10,0.001,0.01,50,300,814.95056595292
10,0.001,0.01,50,300,828.363467179203
10,0.005,0.01,50,300,746.391459613513
10,0.005,0.01,50,300,785.954718572599
10,0.005,0.01,50,300,772.958950417096
10,0.005,0.01,50,300,808.726012513455
10,0.005,0.01,50,300,819.951473539684
10,0.01,0.01,50,300,738.721826002335
10,0.01,0.01,50,300,781.092296026428
10,0.01,0.01,50,300,766.065430417222
10,0.01,0.01,50,300,808.819918761162
10,0.01,0.01,50,300,815.987309436528
10,0.05,0.01,50,300,744.692845445702
10,0.05,0.01,50,300,775.745127536847
10,0.05,0.01,50,300,767.35135400772
10,0.05,0.01,50,300,805.423933749517
10,0.05,0.01,50,300,817.27566131241
10,0.1,0.01,50,300,738.76595250703
10,0.1,0.01,50,300,775.36875485645
10,0.1,0.01,50,300,772.888095550022
10,0.1,0.01,50,300,810.012455619486
10,0.1,0.01,50,300,818.121907641291
10,0.15,0.01,50,300,743.966649253791
10,0.15,0.01,50,300,777.554921949412
10,0.15,0.01,50,300,772.77345556304
10,0.15,0.01,50,300,808.872677186022
10,0.15,0.01,50,300,812.714229642622
10,0.2,0.01,50,300,736.786497487815
10,0.2,0.01,50,300,778.447854364473
10,0.2,0.01,50,300,776.913543150311
10,0.2,0.01,50,300,805.580452559447
10,0.2,0.01,50,300,817.211907902675
10,0.25,0.01,50,300,736.358030716579
10,0.25,0.01,50,300,772.937792087709
10,0.25,0.01,50,300,776.624978484634
10,0.25,0.01,50,300,793.974208851914
10,0.25,0.01,50,300,817.034135105244
10,0.3,0.01,50,300,746.858889520986
10,0.3,0.01,50,300,778.784290227019
10,0.3,0.01,50,300,773.154542077641
10,0.3,0.01,50,300,811.913477426472
10,0.3,0.01,50,300,818.476208998141
10,0.35,0.01,50,300,749.747460282377
10,0.35,0.01,50,300,777.803436452524
10,0.35,0.01,50,300,775.516116374307
10,0.35,0.01,50,300,806.482100777281
10,0.35,0.01,50,300,824.836560748434
10,0.4,0.01,50,300,754.05088207481
10,0.4,0.01,50,300,782.315627419791
10,0.4,0.01,50,300,780.294897959919
10,0.4,0.01,50,300,807.157632387016
10,0.4,0.01,50,300,830.713547428166
10,0.001,0.05,50,300,750.974008594585
10,0.001,0.05,50,300,783.79994968661
10,0.001,0.05,50,300,780.387579261261
10,0.001,0.05,50,300,810.716482144069
10,0.001,0.05,50,300,821.195751253334
10,0.005,0.05,50,300,745.24338751133
10,0.005,0.05,50,300,770.817033025189
10,0.005,0.05,50,300,771.394692794946
10,0.005,0.05,50,300,805.025033993488
10,0.005,0.05,50,300,813.487280959712
10,0.01,0.05,50,300,740.701892072625
10,0.01,0.05,50,300,766.999546081186
10,0.01,0.05,50,300,773.778891416468
10,0.01,0.05,50,300,795.562455012988
10,0.01,0.05,50,300,819.440453541761
10,0.05,0.05,50,300,732.800200508836
10,0.05,0.05,50,300,766.019962023404
10,0.05,0.05,50,300,756.996139766151
10,0.05,0.05,50,300,784.009041925463
10,0.05,0.05,50,300,804.75330306027
10,0.1,0.05,50,300,729.723755527849
10,0.1,0.05,50,300,760.116223946754
10,0.1,0.05,50,300,756.658845769409
10,0.1,0.05,50,300,789.746368768569
10,0.1,0.05,50,300,812.255438927419
10,0.15,0.05,50,300,733.101146337947
10,0.15,0.05,50,300,764.968809519922
10,0.15,0.05,50,300,759.263385591618
10,0.15,0.05,50,300,790.46367311295
10,0.15,0.05,50,300,806.534440821288
10,0.2,0.05,50,300,735.99897796829
10,0.2,0.05,50,300,766.865539453707
10,0.2,0.05,50,300,766.415123626137
10,0.2,0.05,50,300,791.742136429557
10,0.2,0.05,50,300,808.389815269648
10,0.25,0.05,50,300,731.73313494019
10,0.25,0.05,50,300,762.701311385612
10,0.25,0.05,50,300,765.930563039053
10,0.25,0.05,50,300,798.826527217246
10,0.25,0.05,50,300,806.050046201033
10,0.3,0.05,50,300,734.295160885358
10,0.3,0.05,50,300,768.091729680663
10,0.3,0.05,50,300,757.972868369201
10,0.3,0.05,50,300,797.099788935083
10,0.3,0.05,50,300,806.450034232554
10,0.35,0.05,50,300,731.725365812827
10,0.35,0.05,50,300,769.643109238298
10,0.35,0.05,50,300,763.350805661049
10,0.35,0.05,50,300,799.954462101608
10,0.35,0.05,50,300,802.575790018059
10,0.4,0.05,50,300,740.197338836805
10,0.4,0.05,50,300,770.543023031674
10,0.4,0.05,50,300,772.212128064098
10,0.4,0.05,50,300,797.880356115636
10,0.4,0.05,50,300,801.673051123045
10,0.001,0.1,50,300,754.079164732483
10,0.001,0.1,50,300,789.408469822342
10,0.001,0.1,50,300,778.520446992551
10,0.001,0.1,50,300,819.791744394743
10,0.001,0.1,50,300,819.541610502692
10,0.005,0.1,50,300,742.174512608868
10,0.005,0.1,50,300,779.345246902279
10,0.005,0.1,50,300,776.456184169006
10,0.005,0.1,50,300,808.691280636839
10,0.005,0.1,50,300,813.845413280579
10,0.01,0.1,50,300,739.128153145386
10,0.01,0.1,50,300,768.08404577372
10,0.01,0.1,50,300,772.161664491905
10,0.01,0.1,50,300,807.658599981246
10,0.01,0.1,50,300,806.068337435277
10,0.05,0.1,50,300,735.165822377862
10,0.05,0.1,50,300,766.233396972738
10,0.05,0.1,50,300,756.55103409112
10,0.05,0.1,50,300,790.125146814429
10,0.05,0.1,50,300,807.069676256746
10,0.1,0.1,50,300,735.807674829924
10,0.1,0.1,50,300,767.466636900461
10,0.1,0.1,50,300,767.159666748107
10,0.1,0.1,50,300,792.943473521288
10,0.1,0.1,50,300,797.829672270585
10,0.15,0.1,50,300,733.066156102446
10,0.15,0.1,50,300,759.966114060205
10,0.15,0.1,50,300,763.439689126189
10,0.15,0.1,50,300,790.190208900215
10,0.15,0.1,50,300,800.596089157307
10,0.2,0.1,50,300,745.06130766641
10,0.2,0.1,50,300,766.246848903117
10,0.2,0.1,50,300,767.584509905465
10,0.2,0.1,50,300,793.524841898337
10,0.2,0.1,50,300,795.022562380311
10,0.25,0.1,50,300,743.58298106735
10,0.25,0.1,50,300,774.411824852294
10,0.25,0.1,50,300,767.428241804976
10,0.25,0.1,50,300,791.263602655995
10,0.25,0.1,50,300,805.494584218591
10,0.3,0.1,50,300,739.733150486056
10,0.3,0.1,50,300,761.97860986267
10,0.3,0.1,50,300,768.04490603464
10,0.3,0.1,50,300,803.267768128134
10,0.3,0.1,50,300,806.154592473428
10,0.35,0.1,50,300,739.353916841287
10,0.35,0.1,50,300,766.768614432607
10,0.35,0.1,50,300,770.725333252743
10,0.35,0.1,50,300,797.307707354418
10,0.35,0.1,50,300,803.850762855213
10,0.4,0.1,50,300,734.637412404109
10,0.4,0.1,50,300,770.188081016543
10,0.4,0.1,50,300,768.076814975181
10,0.4,0.1,50,300,796.207843324188
10,0.4,0.1,50,300,801.541407642147
10,0.001,0.2,50,300,766.841701698513
10,0.001,0.2,50,300,797.0945739502
10,0.001,0.2,50,300,791.951075905271
10,0.001,0.2,50,300,823.116443769166
10,0.001,0.2,50,300,828.90209950446
10,0.005,0.2,50,300,756.687259657273
10,0.005,0.2,50,300,786.14758724697
10,0.005,0.2,50,300,782.043531398035
10,0.005,0.2,50,300,817.226193263547
10,0.005,0.2,50,300,818.641522784031
10,0.01,0.2,50,300,750.609224200391
10,0.01,0.2,50,300,782.956321081421
10,0.01,0.2,50,300,768.547279473906
10,0.01,0.2,50,300,813.245337383141
10,0.01,0.2,50,300,820.221258549626
10,0.05,0.2,50,300,742.70325189821
10,0.05,0.2,50,300,774.895124624258
10,0.05,0.2,50,300,770.080467575503
10,0.05,0.2,50,300,804.539642333884
10,0.05,0.2,50,300,811.121579297301
10,0.1,0.2,50,300,740.620484377707
10,0.1,0.2,50,300,771.521380138306
10,0.1,0.2,50,300,768.520477645547
10,0.1,0.2,50,300,799.735542107461
10,0.1,0.2,50,300,805.47100534758
10,0.15,0.2,50,300,739.381468412507
10,0.15,0.2,50,300,774.849483520173
10,0.15,0.2,50,300,768.270295526826
10,0.15,0.2,50,300,803.572924252182
10,0.15,0.2,50,300,819.448594297285
10,0.2,0.2,50,300,751.525006401561
10,0.2,0.2,50,300,766.98008144053
10,0.2,0.2,50,300,771.069607490177
10,0.2,0.2,50,300,792.747196780502
10,0.2,0.2,50,300,814.388516930419
10,0.25,0.2,50,300,746.097933437915
10,0.25,0.2,50,300,781.813440806649
10,0.25,0.2,50,300,773.220309860639
10,0.25,0.2,50,300,793.342711898485
10,0.25,0.2,50,300,815.267696518377
10,0.3,0.2,50,300,742.590516277932
10,0.3,0.2,50,300,770.522706223808
10,0.3,0.2,50,300,774.66817100931
10,0.3,0.2,50,300,797.545003737347
10,0.3,0.2,50,300,814.381157440277
10,0.35,0.2,50,300,750.228839413068
10,0.35,0.2,50,300,779.042079676632
10,0.35,0.2,50,300,775.852699490145
10,0.35,0.2,50,300,802.380613037244
10,0.35,0.2,50,300,814.731282493846
10,0.4,0.2,50,300,746.302838437504
10,0.4,0.2,50,300,781.100892144226
10,0.4,0.2,50,300,779.303181836705
10,0.4,0.2,50,300,796.307497676735
10,0.4,0.2,50,300,813.401841140011
15,0.001,0.001,50,300,752.074294454253
15,0.001,0.001,50,300,786.892299586761
15,0.001,0.001,50,300,769.385364416135
15,0.001,0.001,50,300,792.883914859809
15,0.001,0.001,50,300,817.070139319783
15,0.005,0.001,50,300,748.297759521139
15,0.005,0.001,50,300,782.309733835909
15,0.005,0.001,50,300,761.72344687353
15,0.005,0.001,50,300,793.587242944353
15,0.005,0.001,50,300,816.795993488319
15,0.01,0.001,50,300,744.760337065803
15,0.01,0.001,50,300,776.089542134897
15,0.01,0.001,50,300,757.86017861197
15,0.01,0.001,50,300,788.120309646292
15,0.01,0.001,50,300,813.896363577626
15,0.05,0.001,50,300,753.180336283533
15,0.05,0.001,50,300,778.794313272495
15,0.05,0.001,50,300,767.558839335009
15,0.05,0.001,50,300,786.30160094102
15,0.05,0.001,50,300,821.97705182926
15,0.1,0.001,50,300,755.525299331192
15,0.1,0.001,50,300,784.695454339983
15,0.1,0.001,50,300,768.837290270462
15,0.1,0.001,50,300,794.139883946696
15,0.1,0.001,50,300,823.975094874336
15,0.15,0.001,50,300,756.965744939678
15,0.15,0.001,50,300,778.503939214828
15,0.15,0.001,50,300,765.479432987778
15,0.15,0.001,50,300,797.258591567483
15,0.15,0.001,50,300,828.965363098264
15,0.2,0.001,50,300,758.652518695377
15,0.2,0.001,50,300,785.559570540432
15,0.2,0.001,50,300,771.616575728409
15,0.2,0.001,50,300,794.097514405433
15,0.2,0.001,50,300,821.703534708729
15,0.25,0.001,50,300,758.865799476311
15,0.25,0.001,50,300,779.062715227332
15,0.25,0.001,50,300,771.645214324124
15,0.25,0.001,50,300,808.426088629287
15,0.25,0.001,50,300,826.434511322742
15,0.3,0.001,50,300,759.159430638772
15,0.3,0.001,50,300,791.188204150281
15,0.3,0.001,50,300,769.123150165695
15,0.3,0.001,50,300,803.320444029337
15,0.3,0.001,50,300,833.246260927352
15,0.35,0.001,50,300,759.820723003698
15,0.35,0.001,50,300,793.937549314668
15,0.35,0.001,50,300,771.153288560132
15,0.35,0.001,50,300,807.107602618822
15,0.35,0.001,50,300,833.794214497354
15,0.4,0.001,50,300,763.056830887485
15,0.4,0.001,50,300,795.285089567041
15,0.4,0.001,50,300,780.894436720197
15,0.4,0.001,50,300,805.356535026131
15,0.4,0.001,50,300,829.893562559402
15,0.001,0.005,50,300,717.493710845041
15,0.001,0.005,50,300,750.052279315672
15,0.001,0.005,50,300,726.14865373835
15,0.001,0.005,50,300,763.341359800333
15,0.001,0.005,50,300,773.998625709739
15,0.005,0.005,50,300,703.803379288711
15,0.005,0.005,50,300,734.518615215296
15,0.005,0.005,50,300,718.830630821664
15,0.005,0.005,50,300,754.871989119284
15,0.005,0.005,50,300,768.742143410214
15,0.01,0.005,50,300,691.867213889436
15,0.01,0.005,50,300,726.902468233593
15,0.01,0.005,50,300,719.036604219273
15,0.01,0.005,50,300,748.969501597962
15,0.01,0.005,50,300,770.163359473979
15,0.05,0.005,50,300,707.545319294714
15,0.05,0.005,50,300,727.399241451394
15,0.05,0.005,50,300,718.540167521645
15,0.05,0.005,50,300,743.555340360689
15,0.05,0.005,50,300,765.940080128658
15,0.1,0.005,50,300,703.003299173067
15,0.1,0.005,50,300,728.860727646466
15,0.1,0.005,50,300,728.018679672876
15,0.1,0.005,50,300,757.793549199109
15,0.1,0.005,50,300,771.461660948101
15,0.15,0.005,50,300,705.713266539621
15,0.15,0.005,50,300,728.862218454773
15,0.15,0.005,50,300,722.285020013371
15,0.15,0.005,50,300,753.139002398787
15,0.15,0.005,50,300,772.691197320778
15,0.2,0.005,50,300,708.950115846703
15,0.2,0.005,50,300,727.812434981671
15,0.2,0.005,50,300,721.516257132911
15,0.2,0.005,50,300,763.437508314738
15,0.2,0.005,50,300,779.920473446839
15,0.25,0.005,50,300,702.572876699012
15,0.25,0.005,50,300,734.092268736994
15,0.25,0.005,50,300,722.122515281707
15,0.25,0.005,50,300,753.405204062406
15,0.25,0.005,50,300,777.301297048259
15,0.3,0.005,50,300,704.98328887721
15,0.3,0.005,50,300,732.866462128383
15,0.3,0.005,50,300,732.255933993373
15,0.3,0.005,50,300,757.047212957257
15,0.3,0.005,50,300,784.301166654483
15,0.35,0.005,50,300,710.930243496353
15,0.35,0.005,50,300,735.032095175024
15,0.35,0.005,50,300,736.913400688858
15,0.35,0.005,50,300,755.122150626733
15,0.35,0.005,50,300,788.737853276053
